,values,timeline,talhao_idx,talhao_name,satelite
94,2341.0,2020-09-13T00:00:00,0,talhao 0,LC8_30_16D_STK-1
95,2436.0,2020-09-29T00:00:00,0,talhao 0,LC8_30_16D_STK-1
96,2275.0,2020-10-15T00:00:00,0,talhao 0,LC8_30_16D_STK-1
97,255.0,2020-10-31T00:00:00,0,talhao 0,LC8_30_16D_STK-1
98,1971.0,2020-11-16T00:00:00,0,talhao 0,LC8_30_16D_STK-1
99,5810.0,2020-12-02T00:00:00,0,talhao 0,LC8_30_16D_STK-1
100,9770.0,2020-12-18T00:00:00,0,talhao 0,LC8_30_16D_STK-1
101,8927.0,2021-01-01T00:00:00,0,talhao 0,LC8_30_16D_STK-1
102,8697.0,2021-01-17T00:00:00,0,talhao 0,LC8_30_16D_STK-1
103,456.0,2021-02-02T00:00:00,0,talhao 0,LC8_30_16D_STK-1
104,2316.0,2021-02-18T00:00:00,0,talhao 0,LC8_30_16D_STK-1
105,3350.0,2021-03-06T00:00:00,0,talhao 0,LC8_30_16D_STK-1
0,255.0,2016-08-12T00:00:00,1,talhao 1,LC8_30_16D_STK-1
1,255.0,2016-08-28T00:00:00,1,talhao 1,LC8_30_16D_STK-1
2,255.0,2016-09-13T00:00:00,1,talhao 1,LC8_30_16D_STK-1
3,1410.0,2016-09-29T00:00:00,1,talhao 1,LC8_30_16D_STK-1
4,336.0,2016-10-15T00:00:00,1,talhao 1,LC8_30_16D_STK-1
5,477.0,2016-10-31T00:00:00,1,talhao 1,LC8_30_16D_STK-1
6,5271.0,2016-11-16T00:00:00,1,talhao 1,LC8_30_16D_STK-1
7,2600.0,2016-12-02T00:00:00,1,talhao 1,LC8_30_16D_STK-1
8,3850.0,2016-12-18T00:00:00,1,talhao 1,LC8_30_16D_STK-1
9,5799.0,2017-01-01T00:00:00,1,talhao 1,LC8_30_16D_STK-1
10,8568.0,2017-01-17T00:00:00,1,talhao 1,LC8_30_16D_STK-1
11,1137.0,2017-02-02T00:00:00,1,talhao 1,LC8_30_16D_STK-1
12,416.0,2017-02-18T00:00:00,1,talhao 1,LC8_30_16D_STK-1
13,273.0,2017-03-06T00:00:00,1,talhao 1,LC8_30_16D_STK-1
14,1952.0,2017-03-22T00:00:00,1,talhao 1,LC8_30_16D_STK-1
15,2937.0,2017-04-07T00:00:00,1,talhao 1,LC8_30_16D_STK-1
16,7812.0,2017-04-23T00:00:00,1,talhao 1,LC8_30_16D_STK-1
17,6226.0,2017-05-09T00:00:00,1,talhao 1,LC8_30_16D_STK-1
18,3911.0,2017-05-25T00:00:00,1,talhao 1,LC8_30_16D_STK-1
19,3437.0,2017-06-10T00:00:00,1,talhao 1,LC8_30_16D_STK-1
20,3111.0,2017-06-26T00:00:00,1,talhao 1,LC8_30_16D_STK-1
21,2910.0,2017-07-12T00:00:00,1,talhao 1,LC8_30_16D_STK-1
22,2605.0,2017-07-28T00:00:00,1,talhao 1,LC8_30_16D_STK-1
23,2438.0,2017-08-13T00:00:00,1,talhao 1,LC8_30_16D_STK-1
24,2320.0,2017-08-29T00:00:00,1,talhao 1,LC8_30_16D_STK-1
25,2224.0,2017-09-14T00:00:00,1,talhao 1,LC8_30_16D_STK-1
26,2319.0,2017-09-30T00:00:00,1,talhao 1,LC8_30_16D_STK-1
27,3080.0,2017-10-16T00:00:00,1,talhao 1,LC8_30_16D_STK-1
28,-355.0,2017-11-01T00:00:00,1,talhao 1,LC8_30_16D_STK-1
29,4429.0,2017-11-17T00:00:00,1,talhao 1,LC8_30_16D_STK-1
30,3119.0,2017-12-03T00:00:00,1,talhao 1,LC8_30_16D_STK-1
31,3205.0,2017-12-19T00:00:00,1,talhao 1,LC8_30_16D_STK-1
32,8602.0,2018-01-01T00:00:00,1,talhao 1,LC8_30_16D_STK-1
33,96.0,2018-01-17T00:00:00,1,talhao 1,LC8_30_16D_STK-1
34,8780.0,2018-02-02T00:00:00,1,talhao 1,LC8_30_16D_STK-1
35,8855.0,2018-02-18T00:00:00,1,talhao 1,LC8_30_16D_STK-1
36,8240.0,2018-03-06T00:00:00,1,talhao 1,LC8_30_16D_STK-1
37,156.0,2018-03-22T00:00:00,1,talhao 1,LC8_30_16D_STK-1
38,4529.0,2018-04-07T00:00:00,1,talhao 1,LC8_30_16D_STK-1
39,2003.0,2018-04-23T00:00:00,1,talhao 1,LC8_30_16D_STK-1
40,4569.0,2018-05-09T00:00:00,1,talhao 1,LC8_30_16D_STK-1
41,2743.0,2018-05-25T00:00:00,1,talhao 1,LC8_30_16D_STK-1
42,2282.0,2018-06-10T00:00:00,1,talhao 1,LC8_30_16D_STK-1
43,2174.0,2018-06-26T00:00:00,1,talhao 1,LC8_30_16D_STK-1
44,2124.0,2018-07-12T00:00:00,1,talhao 1,LC8_30_16D_STK-1
45,2214.0,2018-07-28T00:00:00,1,talhao 1,LC8_30_16D_STK-1
46,1951.0,2018-08-13T00:00:00,1,talhao 1,LC8_30_16D_STK-1
47,721.0,2018-08-29T00:00:00,1,talhao 1,LC8_30_16D_STK-1
48,460.0,2018-09-14T00:00:00,1,talhao 1,LC8_30_16D_STK-1
49,2521.0,2018-09-30T00:00:00,1,talhao 1,LC8_30_16D_STK-1
50,957.0,2018-10-16T00:00:00,1,talhao 1,LC8_30_16D_STK-1
51,1758.0,2018-11-01T00:00:00,1,talhao 1,LC8_30_16D_STK-1
52,5.0,2018-11-17T00:00:00,1,talhao 1,LC8_30_16D_STK-1
53,4702.0,2018-12-03T00:00:00,1,talhao 1,LC8_30_16D_STK-1
54,-9999.0,2018-12-19T00:00:00,1,talhao 1,LC8_30_16D_STK-1
55,6253.0,2019-01-01T00:00:00,1,talhao 1,LC8_30_16D_STK-1
56,5843.0,2019-01-17T00:00:00,1,talhao 1,LC8_30_16D_STK-1
57,4301.0,2019-02-02T00:00:00,1,talhao 1,LC8_30_16D_STK-1
58,2390.0,2019-02-18T00:00:00,1,talhao 1,LC8_30_16D_STK-1
59,3450.0,2019-03-06T00:00:00,1,talhao 1,LC8_30_16D_STK-1
60,6.0,2019-03-22T00:00:00,1,talhao 1,LC8_30_16D_STK-1
61,5032.0,2019-04-07T00:00:00,1,talhao 1,LC8_30_16D_STK-1
62,7726.0,2019-04-23T00:00:00,1,talhao 1,LC8_30_16D_STK-1
63,7880.0,2019-05-09T00:00:00,1,talhao 1,LC8_30_16D_STK-1
64,6162.0,2019-05-25T00:00:00,1,talhao 1,LC8_30_16D_STK-1
65,4679.0,2019-06-10T00:00:00,1,talhao 1,LC8_30_16D_STK-1
66,3972.0,2019-06-26T00:00:00,1,talhao 1,LC8_30_16D_STK-1
67,3622.0,2019-07-12T00:00:00,1,talhao 1,LC8_30_16D_STK-1
68,3352.0,2019-07-28T00:00:00,1,talhao 1,LC8_30_16D_STK-1
69,2976.0,2019-08-13T00:00:00,1,talhao 1,LC8_30_16D_STK-1
70,2871.0,2019-08-29T00:00:00,1,talhao 1,LC8_30_16D_STK-1
71,2663.0,2019-09-14T00:00:00,1,talhao 1,LC8_30_16D_STK-1
72,2838.0,2019-09-30T00:00:00,1,talhao 1,LC8_30_16D_STK-1
73,4588.0,2019-10-16T00:00:00,1,talhao 1,LC8_30_16D_STK-1
74,4252.0,2019-11-01T00:00:00,1,talhao 1,LC8_30_16D_STK-1
75,5650.0,2019-11-17T00:00:00,1,talhao 1,LC8_30_16D_STK-1
76,3584.0,2019-12-03T00:00:00,1,talhao 1,LC8_30_16D_STK-1
77,-9999.0,2019-12-19T00:00:00,1,talhao 1,LC8_30_16D_STK-1
78,-9999.0,2020-01-01T00:00:00,1,talhao 1,LC8_30_16D_STK-1
79,512.0,2020-01-17T00:00:00,1,talhao 1,LC8_30_16D_STK-1
80,9099.0,2020-02-02T00:00:00,1,talhao 1,LC8_30_16D_STK-1
81,4458.0,2020-02-18T00:00:00,1,talhao 1,LC8_30_16D_STK-1
82,635.0,2020-03-05T00:00:00,1,talhao 1,LC8_30_16D_STK-1
83,5703.0,2020-03-21T00:00:00,1,talhao 1,LC8_30_16D_STK-1
84,222.0,2020-04-06T00:00:00,1,talhao 1,LC8_30_16D_STK-1
85,6881.0,2020-04-22T00:00:00,1,talhao 1,LC8_30_16D_STK-1
86,3576.0,2020-05-08T00:00:00,1,talhao 1,LC8_30_16D_STK-1
87,1637.0,2020-05-24T00:00:00,1,talhao 1,LC8_30_16D_STK-1
88,2321.0,2020-06-09T00:00:00,1,talhao 1,LC8_30_16D_STK-1
89,2184.0,2020-06-25T00:00:00,1,talhao 1,LC8_30_16D_STK-1
90,2006.0,2020-07-11T00:00:00,1,talhao 1,LC8_30_16D_STK-1
91,1790.0,2020-07-27T00:00:00,1,talhao 1,LC8_30_16D_STK-1
92,1715.0,2020-08-12T00:00:00,1,talhao 1,LC8_30_16D_STK-1
93,1762.0,2020-08-28T00:00:00,1,talhao 1,LC8_30_16D_STK-1
94,1776.0,2020-09-13T00:00:00,1,talhao 1,LC8_30_16D_STK-1
95,1759.0,2020-09-29T00:00:00,1,talhao 1,LC8_30_16D_STK-1
96,1899.0,2020-10-15T00:00:00,1,talhao 1,LC8_30_16D_STK-1
97,255.0,2020-10-31T00:00:00,1,talhao 1,LC8_30_16D_STK-1
98,3160.0,2020-11-16T00:00:00,1,talhao 1,LC8_30_16D_STK-1
99,5398.0,2020-12-02T00:00:00,1,talhao 1,LC8_30_16D_STK-1
100,2160.0,2020-12-18T00:00:00,1,talhao 1,LC8_30_16D_STK-1
101,3662.0,2021-01-01T00:00:00,1,talhao 1,LC8_30_16D_STK-1
102,7206.0,2021-01-17T00:00:00,1,talhao 1,LC8_30_16D_STK-1
103,347.0,2021-02-02T00:00:00,1,talhao 1,LC8_30_16D_STK-1
104,640.0,2021-02-18T00:00:00,1,talhao 1,LC8_30_16D_STK-1
105,8611.0,2021-03-06T00:00:00,1,talhao 1,LC8_30_16D_STK-1
0,255.0,2016-08-12T00:00:00,2,talhao 2,LC8_30_16D_STK-1
1,255.0,2016-08-28T00:00:00,2,talhao 2,LC8_30_16D_STK-1
2,255.0,2016-09-13T00:00:00,2,talhao 2,LC8_30_16D_STK-1
3,490.0,2016-09-29T00:00:00,2,talhao 2,LC8_30_16D_STK-1
4,453.0,2016-10-15T00:00:00,2,talhao 2,LC8_30_16D_STK-1
5,327.0,2016-10-31T00:00:00,2,talhao 2,LC8_30_16D_STK-1
6,7472.0,2016-11-16T00:00:00,2,talhao 2,LC8_30_16D_STK-1
7,2118.0,2016-12-02T00:00:00,2,talhao 2,LC8_30_16D_STK-1
8,3379.0,2016-12-18T00:00:00,2,talhao 2,LC8_30_16D_STK-1
9,5998.0,2017-01-01T00:00:00,2,talhao 2,LC8_30_16D_STK-1
10,4913.0,2017-01-17T00:00:00,2,talhao 2,LC8_30_16D_STK-1
11,1872.0,2017-02-02T00:00:00,2,talhao 2,LC8_30_16D_STK-1
12,367.0,2017-02-18T00:00:00,2,talhao 2,LC8_30_16D_STK-1
13,245.0,2017-03-06T00:00:00,2,talhao 2,LC8_30_16D_STK-1
14,1816.0,2017-03-22T00:00:00,2,talhao 2,LC8_30_16D_STK-1
15,2426.0,2017-04-07T00:00:00,2,talhao 2,LC8_30_16D_STK-1
16,7069.0,2017-04-23T00:00:00,2,talhao 2,LC8_30_16D_STK-1
17,6274.0,2017-05-09T00:00:00,2,talhao 2,LC8_30_16D_STK-1
18,4278.0,2017-05-25T00:00:00,2,talhao 2,LC8_30_16D_STK-1
19,3710.0,2017-06-10T00:00:00,2,talhao 2,LC8_30_16D_STK-1
20,3244.0,2017-06-26T00:00:00,2,talhao 2,LC8_30_16D_STK-1
21,2848.0,2017-07-12T00:00:00,2,talhao 2,LC8_30_16D_STK-1
22,2645.0,2017-07-28T00:00:00,2,talhao 2,LC8_30_16D_STK-1
23,2513.0,2017-08-13T00:00:00,2,talhao 2,LC8_30_16D_STK-1
24,2430.0,2017-08-29T00:00:00,2,talhao 2,LC8_30_16D_STK-1
25,2311.0,2017-09-14T00:00:00,2,talhao 2,LC8_30_16D_STK-1
26,2370.0,2017-09-30T00:00:00,2,talhao 2,LC8_30_16D_STK-1
27,2345.0,2017-10-16T00:00:00,2,talhao 2,LC8_30_16D_STK-1
28,-9999.0,2017-11-01T00:00:00,2,talhao 2,LC8_30_16D_STK-1
29,5375.0,2017-11-17T00:00:00,2,talhao 2,LC8_30_16D_STK-1
30,2588.0,2017-12-03T00:00:00,2,talhao 2,LC8_30_16D_STK-1
31,1924.0,2017-12-19T00:00:00,2,talhao 2,LC8_30_16D_STK-1
32,8397.0,2018-01-01T00:00:00,2,talhao 2,LC8_30_16D_STK-1
33,217.0,2018-01-17T00:00:00,2,talhao 2,LC8_30_16D_STK-1
34,9099.0,2018-02-02T00:00:00,2,talhao 2,LC8_30_16D_STK-1
35,9026.0,2018-02-18T00:00:00,2,talhao 2,LC8_30_16D_STK-1
36,5857.0,2018-03-06T00:00:00,2,talhao 2,LC8_30_16D_STK-1
37,245.0,2018-03-22T00:00:00,2,talhao 2,LC8_30_16D_STK-1
38,2263.0,2018-04-07T00:00:00,2,talhao 2,LC8_30_16D_STK-1
39,1339.0,2018-04-23T00:00:00,2,talhao 2,LC8_30_16D_STK-1
40,5495.0,2018-05-09T00:00:00,2,talhao 2,LC8_30_16D_STK-1
41,3066.0,2018-05-25T00:00:00,2,talhao 2,LC8_30_16D_STK-1
42,3761.0,2018-06-10T00:00:00,2,talhao 2,LC8_30_16D_STK-1
43,3124.0,2018-06-26T00:00:00,2,talhao 2,LC8_30_16D_STK-1
44,2817.0,2018-07-12T00:00:00,2,talhao 2,LC8_30_16D_STK-1
45,2617.0,2018-07-28T00:00:00,2,talhao 2,LC8_30_16D_STK-1
46,2418.0,2018-08-13T00:00:00,2,talhao 2,LC8_30_16D_STK-1
47,1049.0,2018-08-29T00:00:00,2,talhao 2,LC8_30_16D_STK-1
48,485.0,2018-09-14T00:00:00,2,talhao 2,LC8_30_16D_STK-1
49,2533.0,2018-09-30T00:00:00,2,talhao 2,LC8_30_16D_STK-1
50,1179.0,2018-10-16T00:00:00,2,talhao 2,LC8_30_16D_STK-1
51,2037.0,2018-11-01T00:00:00,2,talhao 2,LC8_30_16D_STK-1
52,2.0,2018-11-17T00:00:00,2,talhao 2,LC8_30_16D_STK-1
53,3468.0,2018-12-03T00:00:00,2,talhao 2,LC8_30_16D_STK-1
54,-9999.0,2018-12-19T00:00:00,2,talhao 2,LC8_30_16D_STK-1
55,5064.0,2019-01-01T00:00:00,2,talhao 2,LC8_30_16D_STK-1
56,7037.0,2019-01-17T00:00:00,2,talhao 2,LC8_30_16D_STK-1
57,4285.0,2019-02-02T00:00:00,2,talhao 2,LC8_30_16D_STK-1
58,983.0,2019-02-18T00:00:00,2,talhao 2,LC8_30_16D_STK-1
59,1385.0,2019-03-06T00:00:00,2,talhao 2,LC8_30_16D_STK-1
60,-13.0,2019-03-22T00:00:00,2,talhao 2,LC8_30_16D_STK-1
61,5477.0,2019-04-07T00:00:00,2,talhao 2,LC8_30_16D_STK-1
62,4924.0,2019-04-23T00:00:00,2,talhao 2,LC8_30_16D_STK-1
63,7735.0,2019-05-09T00:00:00,2,talhao 2,LC8_30_16D_STK-1
64,5858.0,2019-05-25T00:00:00,2,talhao 2,LC8_30_16D_STK-1
65,4829.0,2019-06-10T00:00:00,2,talhao 2,LC8_30_16D_STK-1
66,4304.0,2019-06-26T00:00:00,2,talhao 2,LC8_30_16D_STK-1
67,3895.0,2019-07-12T00:00:00,2,talhao 2,LC8_30_16D_STK-1
68,3532.0,2019-07-28T00:00:00,2,talhao 2,LC8_30_16D_STK-1
69,3244.0,2019-08-13T00:00:00,2,talhao 2,LC8_30_16D_STK-1
70,3000.0,2019-08-29T00:00:00,2,talhao 2,LC8_30_16D_STK-1
71,2785.0,2019-09-14T00:00:00,2,talhao 2,LC8_30_16D_STK-1
72,1080.0,2019-09-30T00:00:00,2,talhao 2,LC8_30_16D_STK-1
73,5610.0,2019-10-16T00:00:00,2,talhao 2,LC8_30_16D_STK-1
74,4962.0,2019-11-01T00:00:00,2,talhao 2,LC8_30_16D_STK-1
75,6310.0,2019-11-17T00:00:00,2,talhao 2,LC8_30_16D_STK-1
76,3783.0,2019-12-03T00:00:00,2,talhao 2,LC8_30_16D_STK-1
77,-9999.0,2019-12-19T00:00:00,2,talhao 2,LC8_30_16D_STK-1
78,-9999.0,2020-01-01T00:00:00,2,talhao 2,LC8_30_16D_STK-1
79,454.0,2020-01-17T00:00:00,2,talhao 2,LC8_30_16D_STK-1
80,9026.0,2020-02-02T00:00:00,2,talhao 2,LC8_30_16D_STK-1
81,4417.0,2020-02-18T00:00:00,2,talhao 2,LC8_30_16D_STK-1
82,854.0,2020-03-05T00:00:00,2,talhao 2,LC8_30_16D_STK-1
83,2144.0,2020-03-21T00:00:00,2,talhao 2,LC8_30_16D_STK-1
84,272.0,2020-04-06T00:00:00,2,talhao 2,LC8_30_16D_STK-1
85,2258.0,2020-04-22T00:00:00,2,talhao 2,LC8_30_16D_STK-1
86,2257.0,2020-05-08T00:00:00,2,talhao 2,LC8_30_16D_STK-1
87,4587.0,2020-05-24T00:00:00,2,talhao 2,LC8_30_16D_STK-1
88,2589.0,2020-06-09T00:00:00,2,talhao 2,LC8_30_16D_STK-1
89,2788.0,2020-06-25T00:00:00,2,talhao 2,LC8_30_16D_STK-1
90,2863.0,2020-07-11T00:00:00,2,talhao 2,LC8_30_16D_STK-1
91,2624.0,2020-07-27T00:00:00,2,talhao 2,LC8_30_16D_STK-1
92,2161.0,2020-08-12T00:00:00,2,talhao 2,LC8_30_16D_STK-1
93,1971.0,2020-08-28T00:00:00,2,talhao 2,LC8_30_16D_STK-1
94,1971.0,2020-09-13T00:00:00,2,talhao 2,LC8_30_16D_STK-1
95,1912.0,2020-09-29T00:00:00,2,talhao 2,LC8_30_16D_STK-1
96,2139.0,2020-10-15T00:00:00,2,talhao 2,LC8_30_16D_STK-1
97,255.0,2020-10-31T00:00:00,2,talhao 2,LC8_30_16D_STK-1
98,4252.0,2020-11-16T00:00:00,2,talhao 2,LC8_30_16D_STK-1
99,4116.0,2020-12-02T00:00:00,2,talhao 2,LC8_30_16D_STK-1
100,1963.0,2020-12-18T00:00:00,2,talhao 2,LC8_30_16D_STK-1
101,5593.0,2021-01-01T00:00:00,2,talhao 2,LC8_30_16D_STK-1
102,8950.0,2021-01-17T00:00:00,2,talhao 2,LC8_30_16D_STK-1
103,444.0,2021-02-02T00:00:00,2,talhao 2,LC8_30_16D_STK-1
104,3319.0,2021-02-18T00:00:00,2,talhao 2,LC8_30_16D_STK-1
105,8573.0,2021-03-06T00:00:00,2,talhao 2,LC8_30_16D_STK-1
0,255.0,2016-08-12T00:00:00,3,talhao 3,LC8_30_16D_STK-1
1,255.0,2016-08-28T00:00:00,3,talhao 3,LC8_30_16D_STK-1
2,255.0,2016-09-13T00:00:00,3,talhao 3,LC8_30_16D_STK-1
3,490.0,2016-09-29T00:00:00,3,talhao 3,LC8_30_16D_STK-1
4,453.0,2016-10-15T00:00:00,3,talhao 3,LC8_30_16D_STK-1
5,327.0,2016-10-31T00:00:00,3,talhao 3,LC8_30_16D_STK-1
6,7472.0,2016-11-16T00:00:00,3,talhao 3,LC8_30_16D_STK-1
7,2118.0,2016-12-02T00:00:00,3,talhao 3,LC8_30_16D_STK-1
8,3379.0,2016-12-18T00:00:00,3,talhao 3,LC8_30_16D_STK-1
9,5998.0,2017-01-01T00:00:00,3,talhao 3,LC8_30_16D_STK-1
10,4913.0,2017-01-17T00:00:00,3,talhao 3,LC8_30_16D_STK-1
11,1872.0,2017-02-02T00:00:00,3,talhao 3,LC8_30_16D_STK-1
12,367.0,2017-02-18T00:00:00,3,talhao 3,LC8_30_16D_STK-1
13,245.0,2017-03-06T00:00:00,3,talhao 3,LC8_30_16D_STK-1
